id,chapter,Question,Answer
692,"Chapter 8","When is lightning most likely to occur?","When the OAT is +10°C to -10°C and within or close to a thunderstorm associated with a mature-stage cumulonimbus cloud."
693,"Chapter 8","What is wind?","Wind is the horizontal movement of air in the atmosphere driven by pressure difference, earth's rotation, temperature, and surface friction."
694,"Chapter 8","How is wind described or expressed?","Wind is expressed in terms of direction (degrees clockwise from true north, exceptions: ATC/ATIS and upper winds use magnetic) and strength (knots)."
695,"Chapter 8","What is wind velocity?","Wind velocity relates to the wind's direction and strength (e.g., 180/25)."
696,"Chapter 8","Describe a veering and backing wind.","Veering: Changes direction clockwise (e.g., 100 to 160). Backing: Changes direction counterclockwise (e.g., 160 to 100)."
697,"Chapter 8","What is buys ballot's law?","If you stand with your back to the wind in the northern hemisphere, the low pressure will be on your left."
698,"Chapter 8","What is the pressure gradient force?","A natural force generated by a difference in pressure across a horizontal distance. It acts at right angles to isobars and moves air from high to low pressure."
699,"Chapter 8","What is the coriolis force (or geostrophic force)?","An apparent force acting on a moving parcel of air due to the earth's rotation, deflecting it to the right in the northern hemisphere and left in the southern hemisphere."
700,"Chapter 8","What is the geostrophic wind?","The balanced flow of air from a westerly direction that is parallel to straight isobars, created when pressure gradient force and coriolis force are balanced (usually above 2000 ft)."
701,"Chapter 8","What is a gradient wind?","The resulting wind that blows around the curved isobars common to circular low- or high-pressure patterns (above 2000 ft)."
702,"Chapter 8","Describe upper winds.","Upper winds are determined by the thermal gradient. The vector sum of the isotherm thermal wind component and the surface/upper isobar pressure-driven wind produces the upper wind."
703,"Chapter 8","What is a thermal wind, and how is it generated?","Thermal winds are generated by a difference in temperature (thermal gradient) between two columns of air. Direction is parallel to isotherms."
704,"Chapter 8","What is a jetstream?","A jetstream is a narrow band of high-speed upper thermal winds at very high altitudes (wind speed > 60 knots)."
705,"Chapter 8","Where do you find jetstreams?","1. At the polar front (around 60 degrees latitude). 2. At the intertropical front (subtropical/tropical air meeting)."
706,"Chapter 8","Describe the characteristics of a surface wind.","At the surface, the wind weakens in strength and backs in direction (northern hemisphere) due to friction forces."
707,"Chapter 8","Describe the diurnal variation of the surface wind.","By day: Loses less strength and backs only slightly. By night: Drops in strength and backs significantly."
708,"Chapter 8","How does the wind (direction and speed) change with height?","In the northern hemisphere, wind increases in speed and veers in direction with an increase of height."
709,"Chapter 8","What are the approximate changes in the surface wind direction and speed compared with the free air 2000-ft gradient wind?","(See table on page 240) Example over land by day: Backs 20 degrees, speed 0.5 of gradient."
710,"Chapter 8","Why is the surface wind important to pilots?","It relates directly to the effect on aircraft during takeoffs and landings (crosswind, headwind)."
711,"Chapter 8","What are trade winds?","Steady and predictable surface winds that blow from subtropical highs into the equatorial low (ITCZ)."
712,"Chapter 8","Explain land/sea breezes, especially in connection with coastal airports.","Sea breeze (day): Land heats up, air rises, pressure drops; air flows from sea to land. Land breeze (night): Land cools, air subsides, pressure rises; air flows from land to sea."
713,"Chapter 8","What is the fohn wind effect?","Air cools at DALR rising over a hill, forms cloud, cools at SALR, loses moisture. Descends on leeward side warming at DALR, arriving warmer and drier."
714,"Chapter 8","What is a katabatic/anabatic wind?","Katabatic: Local valley wind flowing down a hill. Anabatic: Local valley wind flowing up a hill."
715,"Chapter 8","What is an airmass?","A large parcel of air with fairly similar temperature and humidity properties throughout."
716,"Chapter 8","What is a pressure system?","A circulating airmass classified as low or high, relating to the direction of pressure change toward the center."
717,"Chapter 8","Describe the characteristics of a low-pressure system.","(Depression) 1. Pressure drops toward center. 2. Convergence at lower layers, rising air, divergence at upper layers. 3. Counterclockwise wind (NH). 4. Usually two air masses (fronts). 5. Move faster than highs."
718,"Chapter 8","What is the wind direction around a low-pressure system?","Counterclockwise in the northern hemisphere (clockwise in southern)."
719,"Chapter 8","What are the different types of depressions?","1. Frontal 2. Thermal 3. Tropical storm 4. Orographic."
720,"Chapter 8","Describe the weather associated with a depression.","1. Cloud formation and precipitation. 2. Visibility good (except in showers). 3. Moderate to strong winds. 4. Frontal weather."
721,"Chapter 8","What is a trough?","A V-shaped extension of a low-pressure system. Air flows in and rises, causing weather similar to a depression."
722,"Chapter 8","What drift would you experience when flying from a high- to a low-pressure system?","In the northern hemisphere: Right (starboard) drift."
723,"Chapter 8","Describe the characteristics of a high-pressure system.","(Anticyclone) 1. Pressure rises toward center. 2. Divergence at lower layers, subsiding air, convergence at upper layers. 3. Clockwise wind (NH). 4. Single air mass (no fronts). 5. Slower moving."
724,"Chapter 8","What is the wind direction around a high-pressure system?","Clockwise in the northern hemisphere (counterclockwise in southern)."
725,"Chapter 8","Describe the weather associated with a high-pressure system.","1. Clear upper skies, little low-level cloud/precip. 2. Light winds. 3. Possible poor visibility at low levels (fog/smog under inversion)."
726,"Chapter 8","What is a ridge?","A U-shaped extension to a high-pressure system."
727,"Chapter 8","What drift would you experience when flying from a low- to a high-pressure system?","In the northern hemisphere: Left (port) drift."
728,"Chapter 8","Describe the airflow between a low- and a high-pressure system.","Air flows outward from surface high to surface low, rises, flows outward from upper high to upper low, subsides."
729,"Chapter 8","How does a change in pressure affect an aircraft's flight level?","Flying from high to low pressure: Altimeter overreads (actual level lower). High to low, beware below."
730,"Chapter 8","What is a front?","A boundary between two different air masses."
731,"Chapter 8","What is frontal activity?","Interaction between at least two air masses as one replaces another."
732,"Chapter 8","How are frontal depressions developed?","When two different air masses meet but do not mix because one is warmer/less dense than the other."
733,"Chapter 8","What is a warm front?","Boundary where warmer, less dense air rises up and replaces colder air at the surface (slides over)."
734,"Chapter 8","Describe the characteristics and weather common to the passage of a warm front.","Approaching: Lowering cloud base (Cirrus to Nimbostratus), poor visibility, falling pressure. Passing: Rise in temp, low cloud/fog, wind veers (NH), pressure stops falling, good visibility."
735,"Chapter 8","What is a cold front?","Boundary where colder, denser air undercuts and replaces warmer air (slides under)."
736,"Chapter 8","Why does a warm front move slower than a cold front?","Warm front energy is used to move air upward as well as forward. Cold front meets little resistance and moves at full geostrophic component."
737,"Chapter 8","Describe the characteristics and weather common to the passage of a cold front.","Approaching: Cumulus/CB clouds, heavy rain/thunderstorms, poor visibility, falling pressure. Passing: Sudden temp drop, clear skies with isolated Cu, good visibility, wind veers (NH), pressure rises."
738,"Chapter 8","What is an occluded front?","A combination of both a cold and a warm front (cold front catches up with warm front)."
739,"Chapter 8","What is turbulence?","Eddy motions in the atmosphere varying with time, place, and magnitude (Vertical: Convection, Orographic. Horizontal: Jetstreams, Wake turbulence)."
740,"Chapter 8","What causes surface turbulence?","Surface wind blowing over and around surface obstacles (hills, trees, buildings)."
741,"Chapter 8","What is windshear?","Any variation of wind speed and/or direction from place to place, including updrafts and downdrafts."
742,"Chapter 8","Where do you find windshear?","Low-level (approach/takeoff), Frontal passage, Microbursts, Jetstreams."
743,"Chapter 8","How is windshear detected?","Pilot appreciation of wind/temp differences, Aerodrome equipment, Aircraft warning systems (GPWS)."
744,"Chapter 8","How does windshear affect an aircraft?","Affects lift capability. 1. Dynamic speed reduced/increased. 2. Effective weight increased (downdraft). Can cause overshoot or undershoot."
745,"Chapter 8","What is a microburst?","A severe downdraft emanating from the base of a cumulonimbus cloud during a thunderstorm."
746,"Chapter 8","Where do you find microbursts?","Underneath mature cumulonimbus clouds, often centered in the middle of a thunderstorm."
747,"Chapter 8","What do you know about microbursts?","Short duration (few minutes), concentrated (5 km across), associated with mature CBs. Result of cold/dense downdrafts. Can reach 3000 ft/min downdraft."
748,"Chapter 8","What identifies (are the indications of) a microburst?","1. Mature CBs. 2. Roll cloud. 3. Virga rain. 4. Flight path/IAS fluctuations. 5. Wind changes."
749,"Chapter 8","How does a microburst affect an aircraft?","Entering: Headwind increase (overshoot). Center: Strong downdraft (sink). Exiting: Tailwind increase (undershoot/loss of airspeed)."
750,"Chapter 8","What is the definition of wind gust factors?","Difference between maximum and minimum wind speeds divided by mean wind speed."
751,"Chapter 8","What do lenticular clouds indicate?","Standing (mountain) wave clear air turbulence (CAT)."
752,"Chapter 8","What is CAT, and give examples?","Clear air turbulence (no visible moisture). Examples: Low-level (inversions, terrain), Jetstreams, Fronts, Thunderstorms, Wake turbulence."
753,"Chapter 8","Can you detect CAT?","Difficult to detect. Use met appraisal (wind/temp changes), reported conditions, broken engine trails."
754,"Chapter 8","What is wake turbulence?","Disturbed airflow (wing-tip vortices) created behind an aircraft's wing."
755,"Chapter 8","What is icing?","Change of state of water to solid form when temp is less than freezing point (from water vapor or water droplets)."
756,"Chapter 8","What is sublimation?","Process of turning water vapor immediately into ice (hoar frost)."
757,"Chapter 8","What are supercooled water droplets (SWDs)?","Liquid water drops existing below freezing point (down to -45°C). Freeze on contact with aircraft."
758,"Chapter 8","What conditions present an icing risk?","Visible moisture (clouds/rain) and temperature between +10°C and -40/45°C."
759,"Chapter 8","What hazards to aviation does icing cause?","1. Adverse aerodynamic performance (lift loss, drag increase). 2. Control surface effects. 3. Weight increase. 4. Reduced engine power. 5. Vent blockage. 6. Degraded comms/nav."
760,"Chapter 8","What is carburetor icing?","Ice formation in the engine induction system/carburetor due to temperature drop from air acceleration and fuel evaporation."
761,"Chapter 8","What is atmospheric/meteorologic visibility?","Greatest horizontal distance at which a specified object can be seen in daylight."
762,"Chapter 8","What conditions reduce visibility?","Particles in atmosphere (water, ice, pollution), stable air, sun position."
763,"Chapter 8","What is the most important visibility to the pilot?","Slant or oblique visibility (aircraft to ground)."
764,"Chapter 8","How is visibility reported?","1. General visibility (least distance visible). 2. RVR."
765,"Chapter 8","What is smog, and how is it formed?","Combination of smoke and fog, usually under an inversion layer."
766,"Chapter 8","What is the thermal equator?","Position of maximum thermal temperature around the earth's surface."
767,"Chapter 8","What is the ITCZ?","Intertropical convergence zone, where converging air masses meet near the thermal equator."
768,"Chapter 8","What are tropical revolving storms?","Deep, intense depressions found in equatorial regions (cyclones, hurricanes, typhoons)."
769,"Chapter 8","What is the primary method of preflight meteorologic briefings for aircrew?","Self-briefing (using facilities/docs or telephone service)."
770,"Chapter 8","What is an AIRMET?","Recorded telephone message giving met forecast for a particular area."
771,"Chapter 8","What is a meteorologic report?","Observation of actual weather at a specific time."
772,"Chapter 8","What are the common aviation meteorologic reports?","METARS, SIGMETS, SPECI, ATIS, In-flight reports (VOLMET)."
773,"Chapter 8","What are METARS?","Written, coded routine aviation weather report for an aerodrome."
774,"Chapter 8","Decode the following METAR: EGCC/0920Z...","Manchester, 0920Z, Wind 210/15G27, Vis 1000m SW, RVR 24/1500m, Rain showers, BKN 025 CB, Temp 08/Dew 06, QNH 1013, Recent TS, Windshear Rwy 24, No sig change."
775,"Chapter 8","What does trend mean in a meteorologic report?","Forecast of significant weather changes expected in the next 2 hours."
776,"Chapter 8","What is a SIGMET?","Report advising of significant met conditions affecting safety (thunderstorms, severe turbulence, etc.)."
777,"Chapter 8","What are SPECIs?","Aviation Selected Special Weather Report (critical conditions)."
778,"Chapter 8","What in-flight weather reports can you access?","FIS/ATC, ATIS, VOLMET."
779,"Chapter 8","What is ATIS?","Automatic Terminal Information Service (prerecorded broadcast of aerodrome info)."
780,"Chapter 8","What is VOLMET?","Continuous broadcast of weather reports and forecasts for selected aerodromes."
781,"Chapter 8","What is a meteorologic forecast?","Prediction of weather likely to be for a given route/area/aerodrome."
782,"Chapter 8","What are the common types of aviation forecasts?","Area forecasts, Aerodrome forecasts (TAF), Special forecasts."
783,"Chapter 8","What is a TAF?","Terminal Aerodrome Forecast (routine forecast for an aerodrome)."
784,"Chapter 8","Decode the following TAF: EGCC/15 0600...","Manchester, 15th 0600, Valid 07-16, Wind 210/15, Vis 5000, Showers Rain, BKN 025, Tempo 11-16 Vis 3000 Showers Rain, Prob30 14-16 TS Rain BKN 006CB."
785,"Chapter 8","What is a special forecast, and when is it requested?","Forecasts for flights over long routes outside area forecast coverage."
786,"Chapter 8","What is the definition of BECMG in a forecast?","Becoming (permanent change occurring during specified period)."
787,"Chapter 8","What is the definition of TEMPO in a forecast?","Temporary variation lasting less than 1 hour (or < half period)."
788,"Chapter 8","What is the definition of INTER in a forecast?","Intermittent variations (more frequent than TEMPO)."
789,"Chapter 8","What is the definition of GRADU In a forecast?","Gradual change."
790,"Chapter 8","What is the definition of RAPID in a forecast?","Rapid change (in less than 30 mins)."
791,"Chapter 8","What is the definition of PROB in a forecast?","Probability (less than 50 percent chance)."
792,"Chapter 8","What is the definition of CAVOK?","Visibility >= 10km, No clouds below 5000ft/MSA, No precip/TS/fog."
793,"Chapter 9","What are NOTAMS, and how are they distributed?","NOTAMs are NOTices to AirMen. They contain information on any aeronautical facilities, services, procedures, or hazards... They may be given as either 1. A class 1 NOTAM, distributed by teleprinter... 2. A class 2 NOTAM, distributed through the post..."
794,"Chapter 9","What are AICs?","Aeronautical Information Circulars (AICs) are published monthly and concern administrative matters and advance warnings of operational changes."
795,"Chapter 9","When must you file a flight plan?","You must file a flight plan for flights 1. Within controlled airspace notified as IFR... 2. Within other controlled airspace in IMC or at night... 3. Within certain special rules airspace... 4. Within upper information regions (UIRs)... 5. When the destination is more than a certain distance... 6. When you cross-flight information regions (FIR) boundaries... 7. When you intend to use the air traffic advisory service..."
796,"Chapter 9","What is ETOPS?","Extended twin operations. An operator is granted permission to operate a twin-engined aircraft type on flights in which the aircraft is more than 60 minutes away from a suitable alternative aerodrome..."
797,"Chapter 9","What is an adequate/suitable aerodrome, especially with regard to ETOPS diversion/alternate aerodromes?","An adequate/suitable aerodrome for ETOPS diversions is one in which 1. Aircraft performance is suitable... 2. Adequate emergency facilities... 3. Adequate aerodrome lighting... 4. A basic instrument approach is available... 5. The aerodrome is open."
798,"Chapter 9","What are the various ETOPS categories?","Normal extended twin operations (ETOPS) categories, vary between 60 and 180 minutes. However, in recent years... applications have been made for up to 207 and 240 minute..."
799,"Chapter 9","What is OCH(A)?","OCH is the obstacle clearance height above the aerodrome level... OCA is the obstacle clearance altitude above mean sea level..."
800,"Chapter 9","What is the minimum-height/altitude rule?","...an aircraft should not fly at a height of less than a 1000 ft above the highest obstacle within a distance of 5 nautical miles of the aircraft unless 1. It is necessary... to land 2. The aircraft is flying on a route notified... 3. ...otherwise authorized... 4. ...flying at an altitude not exceeding 3000 ft above MSL and remains clear of clouds and in sight of the surface."
801,"Chapter 9","What lighting designations are on air navigation (i.e., man-made) obstacles?","Obstacles greater than 492 ft (150 m) are lit by high-intensity flashing white lights by day and night... Obstacles less than 492 ft (150 m) but higher than 300 ft, are lit... with medium-intensity flashing red lights at night."
802,"Chapter 9","What is MSA?","Minimum sector altitudes (MSAs) are published on 1. Instrument approach charts... 2. En route charts (grid moras)..."
803,"Chapter 9","What is MEA?","Minimum en route altitude (MEA) is the safe altitude within the airway, i.e., 5 nautical miles either side of the airway centerline, and a minimum altitude at which radio reception is guaranteed."
804,"Chapter 9","What are the IFR flight levels?","The IFR flight levels are based on the quadrantal and semicircle rule... Below 24,500 ft (quadrantal rule)... Above 24,500 ft (semicircular rule)..."
805,"Chapter 9","What pressure settings are flight levels based on?","Flight levels are based on the standard altimeter setting of 29.92 inches of mercury (inHg) or 1013.2 millibars (hPa)."
806,"Chapter 9","Why are flight level intervals increased to 2000 ft above FL290 in non-RVSM airspace?","Vertical separation is increased to 2000 ft above FL290 in non-RVSM airspace because of increased altimeter errors due to the lower air density experienced at these higher levels."
807,"Chapter 9","What is the lowest usable flight level (FL)?","The lowest usable en route flight level must be at least 500 ft above the absolute minimum altitude."
808,"Chapter 9","What are the two quantities known as weather minima?","1. Decision height (DH) or minimum decision altitude (MDA)... 2. Runway visual range (RVR) or visibility..."
809,"Chapter 9","What is decision height (DH)/minimum decision altitude (MDA)?","DH is the wheel height above the runway elevation at which a go-around must be initiated... MDA is the altitude measured using the local QNH pressure setting..."
810,"Chapter 9","How is a decision height (DH) or minimum decision altitude (MDA) calculated for a precision approach?","Take the higher of (a) obstacle clearance height (OCH)... or (b) precision approach system minimum... Then add 50 ft for altimeter position error correction (PEC)..."
811,"Chapter 9","How is a minimum decision altitude (MDA) calculated for a nonprecision approach?","Take the higher of (a) obstacle clearance height (OCH)... or (b) nonprecision approach system minimum... Note: Many operators add a further 50 ft to the MDA..."
812,"Chapter 9","What is RVR?","Runway visual range (RVR) is a highly accurate instrument-derived visibility measurement that represents the range at which the runway's high-intensity lights can be seen..."
813,"Chapter 9","How is RVR reported?","RVR is reported at up to three points on the runway: 1. At the touchdown zone 2. At the midpoint 3. At the stop end... whenever it is detected as being less than 1500 m."
814,"Chapter 9","Give the definitions of radar control, radar advisory, and radar information services.","1. Radar control service... ATC is responsible for monitoring and separation... 2. Radar advisory service... provide traffic information and advisory avoiding action... 3. Radar information service... provide traffic information only..."
815,"Chapter 9","What is radar vectoring, and what is required for radar vectoring to be carried out?","Radar vectoring occurs when a radar controller passes to an aircraft a heading to steer..."
816,"Chapter 9","What is the standard circuit direction?","Left-hand direction."
817,"Chapter 9","What does HST mean on an airfield runway chart?","High-speed turn off a runway."
818,"Chapter 9","What is a rate 1, 2, and 3 turn?","Rate 1 is a 3 degree per second... Rate 2 is a 6 degree per second... Rate 3 is a 9 degree per second..."
819,"Chapter 9","What is the altitude effect on wind direction and speed?","The wind normally backs in direction (veers in direction in the southern hemisphere) and decreases in speed during a descent as you get near to the ground."
820,"Chapter 9","What is the night effect of wind direction and speed?","The wind at night normally backs further in direction... and decreases more in speed as you get nearer to the ground during a descent."
821,"Chapter 9","What does it mean if you have a port wind in the northern hemisphere?","This means that you are flying toward a low-pressure system, resulting in a descending flight path for a constant altimeter pressure setting."
822,"Chapter 9","Why is the correct rotation rate important, especially on large jet aircraft?","...ensures that the aircraft leaves the ground within the correct distance... and achieves the correct initial climb speed (V2)..."
823,"Chapter 9","What causes the noise from a jet aircraft?","The noise from a jet aircraft is caused by the shear effect at the boundary of the jet efflux."
824,"Chapter 9","Describe a typical noise abatement technique.","...1. The noise abatement first segment adopts a steep climb at full power... 2. The noise abatement second segment, where the engines are throttled back to climb power..."
825,"Chapter 9","Why on a short sector would you climb to FL330?","To gain a better specific fuel consumption (SFC)... Additionally, you gain a higher true airspeed (TAS)..."
826,"Chapter 9","What is the glide distance for an aircraft at 30,000 ft?","Determine the best glide speed... altitude divided by rate of descent... Time x speed per minute..."
827,"Chapter 9","Why does an aircraft descend quicker when it is lighter?","...the heavier aircraft has to maintain a lower rate of descent than a lighter aircraft; otherwise, it would overspeed... Therefore, a heavier aircraft has to start its descent earlier..."
828,"Chapter 9","Why does an aircraft have to descend earlier when it is heavier?","(See Q: Why does an aircraft descend quicker when it is lighter?)"
829,"Chapter 9","What visual clues on landing should you look for?","The main visual clue during a landing is the pilot's judgment of a 3-degree glide slope... the extended sides of the runway intersect at the horizon, and texture gradients... indicate horizon location."
830,"Chapter 9","How do you calculate headwind, tailwind, and crosswind component?","To calculate headwinds, tailwinds, and crosswinds, you should use a chart... and enter the tower-reported wind..."
831,"Chapter 9","How do you fly a crosswind approach and landing, yaw, or wing down?","Whatever the company policy is."
832,"Chapter 9","Which is the more difficult landing, a left or right crosswind?","A crosswind from the left of the aircraft's nose in the northern hemisphere is more difficult... because the wind backs in direction from (A) to (B)... resulting in a lower headwind component and a greater crosswind component."
833,"Chapter 9","How do you correct for a high sink rate on approach?","1. By increasing incidence... 2. By increasing airspeed (thrust)..."
834,"Chapter 9","What are the wind gust corrections applied to the approach speed?","Stable wind (minimum of 5 knots) + full gust value up to a predetermined, type-specific limit..."
835,"Chapter 9","Why is it important not to lose speed on the approach?","...because the approach speed is only just above minimum drag speed (VIMD), and... the jet aircraft does not produce any noticeable changes in flying qualities. Speed is unstable below VIMD..."
836,"Chapter 9","What is ground effect, and how is it caused?","Ground effect is the cushioning of the aircraft... when the aircraft is close to the ground... Caused by rising warm air off the ground, by a reduction in the amount of downwash... and by the tendency of the aircraft not to slow..."
837,"Chapter 9","How does ground effect influence landing distance?","Ground effect will, if allowed to, cause the aircraft to float... This results in an increased landing distance."
838,"Chapter 9","What is the most efficient system for stopping at high speed?","Reverse thrust."
839,"Chapter 9","Why should you not use reverse thrust at low speeds?","1. ...reversed flow... tend to upset the intake flow of the outer engines... 2. Any engine... will tend to breathe its own reversed exhaust... may blow surface contamination into the engine."
840,"Chapter 9","Can you use reverse thrust in flight?","No. Reverse thrust is not certified for in-flight deployment on most aircraft types..."
841,"Chapter 9","What selection will give you TOGA?","1. Moving the thrust levers into a forward TOGA gate... 2. Pressing the TOGA switches on the thrust levers..."
842,"Chapter 9","What is a typical engine fire drill?","Thrust lever: Close. Auto throttle: Disengage. Start lever/switch: Off or cut out. Engine fire warning switch: Engage. If fire remains: Discharge Extinguisher 1... then Extinguisher 2... Land at nearest airport."
843,"Chapter 9","What are the International Civil Aviation Organization (ICAO) aircraft category weight definitions?","Heavy (H): 136,000 kg. Medium (M): 136,000 kg and 7000 kg. Light (L): 7000 kg or less."
844,"Chapter 9","Why should you maintain the minimum approach separation?","To avoid the wake vortex/turbulence from the preceding aircraft."
845,"Chapter 9","What are the International Civil Aviation Organization (ICAO) final approach separation minima?","Heavy behind Heavy: 4nm. Medium behind Heavy: 5nm. Light behind Heavy: 6nm. Light behind Medium: 5nm..."
846,"Chapter 9","What are the International Civil Aviation Organization (ICAO) minimum departure separation criteria?","Medium/Light behind Heavy: 2 minutes. Light behind Medium: 2 minutes. (3 minutes if intersection departure)."
847,"Chapter 9","How do you avoid wake turbulence?","1. Separation minima (time). 2. Alteration to the flight path."
848,"Chapter 9","What are SIDs?","Standard instrument departures (SIDs). A SID details a specific initial route or track from a particular aerodrome runway..."
849,"Chapter 9","What are STARs?","Standard instrument arrivals (STARs). A STAR details a specific final route or track onto a particular runway approach..."
850,"Chapter 9","What is a holding procedure?","A holding procedure is a predetermined maneuver that keeps an aircraft within a specified airspace... generally is a racetrack shape."
851,"Chapter 9","What is the standard holding pattern direction?","The standard holding pattern direction is right-hand turns."
852,"Chapter 9","What are the three entry procedures into a holding pattern?","Sector 1: Parallel entry. Sector 2: Teardrop entry. Sector 3: Direct entry."
853,"Chapter 9","What rate of turn should you use in a holding pattern?","All turns in a holding pattern should be standard rate 1 turn, i.e., 3 degrees per second."
854,"Chapter 9","How do you time a holding pattern?","The outbound timing should be 1 minute for a standard holding pattern up to and including 14,000 ft and 1.5 minutes above 14,000 ft."
855,"Chapter 9","What does it mean to be cleared for the approach?","...means that you have been cleared for the complete procedure... It does not mean that you have been cleared to land."
856,"Chapter 9","When can you descend during an nondirectional beacon (NDB) nonprecision procedure?","1. You must be at the descent point as defined on the procedure... 2. You must be within +/- 5 degrees of the ADF final approach track."
857,"Chapter 9","How is the MAP defined on an nondirectional beacon (NDB) approach?","The missed approach point (MAP)... is defined by a fix... or the start of the inbound descent (MAPt)."
858,"Chapter 9","On an instrument landing system (ILS) approach, when can you descend on the glide path?","1. You have been cleared for the ILS procedure. 2. You have captured the localizer, within +/- 5 degrees."
859,"Chapter 9","What are the visual and aural indications of instrument landing system (ILS) marker beacons?","Outer marker: Blue light, dashes (---). Middle marker: Amber light, dots and dashes (.-.-). Inner marker: White light, dots (...)."
860,"Chapter 9","How can you calculate the distance from the threshold at which you would intercept the glide slope?","Divide the height by the glide slope angle times 100."
861,"Chapter 9","How do you calculate glide slope angle if an approach is only given as a gradient?","Glide slope angle = gradient % * 0.57."
862,"Chapter 9","How can you calculate the approximate rate of descent for a 3-degree glide slope?","5 * ground speed = ROD (feet per minute)."
863,"Chapter 9","What are the Cat I, II, and III ILS International Civil Aviation Organization (ICAO) approach limits?","CAT I: DH 200ft, RVR 550m. CAT II: DH 100-200ft, RVR 300m. CAT IIIa: DH 50-100ft, RVR 200m. CAT IIIb: DH <50ft, RVR 50m. CAT IIIc: DH 0ft, RVR 0m."
864,"Chapter 9","What are the runway visual range (RVR) minima for a low-visibility takeoff?","With high-intensity center lights: 150 m RVR. With no high-intensity center lights: 200 m RVR."
865,"Chapter 9","Describe the requirements for a CAT II or III approach.","1. Aircraft certified. 2. Ground equipment certified and LVP in force. 3. Crew qualified. 4. Weather minima above ban. 5. Alternate above CAT I."
866,"Chapter 9","What do you know about CAT II and III approaches?","...based on the principle that the short-range visual reference required will be present at the decision height (DH)."
867,"Chapter 9","What is the final approach fix (FAF)?","The FAF denotes the start of the final approach segment of either a precision or nonprecision approach."
868,"Chapter 9","What is alert height?","Alert height is a specified radio height... above which, if a failure occurred... the approach would be discontinued... below which... the approach would be continued."
869,"Chapter 9","What is MABH?","Minimum approach breakoff height. The lowest height... that if a go-around were initiated... the aircraft would not touch the ground."
870,"Chapter 9","Describe the SRA nonprecision approach procedure.","A surveillance radar approach (SRA)... where a radar controller can provide tracking guidance and desired height information down a final approach."
871,"Chapter 9","What are the minima for an SRA procedure?","SRA terminating at 0.5nm: 250ft. SRA terminating at 1nm: 300ft. SRA terminating at 2nm: 350ft."
872,"Chapter 9","Describe the PAR approach procedure.","A precision approach radar (PAR)... is a precision approach... provides returns in vertical (slope) navigation as well as horizontal (azimuth) navigation."
873,"Chapter 9","What is the minimum for a PAR procedure?","The PAR system minimum is 200 ft MDH."
874,"Chapter 9","What is a DME arc procedure?","A DME arc is based on a navigation aid... and is used to intercept a final approach track. Flown by maintaining constant DME and aid at 90 degrees."
875,"Chapter 9","What is a procedure turn, and when is it used?","Two types: 45-degree and 80/260-degree. Used when no suitable fixes permit a direct entry."
876,"Chapter 9","What is a (teardrop pattern) base turn and when is it used?","Used to reverse the direction by more than 180 degrees onto an inbound final approach track."
877,"Chapter 9","Can you extend the outbound leg of a holding pattern as a base turn?","Yes, when the inbound track of a hold is the same as the approach and the procedure is published as such."
878,"Chapter 9","What are the radiotelephony emergency frequencies?","121.50 and 243.00 VHF."
879,"Chapter 9","What are the International Civil Aviation Organization (ICAO) transponder special codes?","7700 (Emergency), 7600 (Comm failure), 7500 (Hijack), 2000 (IFR), 7000 (VFR)."
880,"Chapter 9","What information and format must be included in an instrument flight rules (IFR) position report?","Aircraft identification, Position and time, Level, Next position and estimate."
881,"Chapter 9","What is a Mayday call, and when is it used?","Mayday indicates that an aircraft is threatened by grave and immediate danger and requests immediate assistance."
882,"Chapter 9","What is a Panpan call, and when is it used?","Panpan indicates that the commander... has an urgent message to transmit concerning safety..."
883,"Chapter 9","What is the procedure for a two-way communications failure?","1. Continue flight (7600)... 2. Arrange to arrive at holding point at ETA... 3. Descent within 10 mins of EAT/ETA... 4. Land within 30 mins..."
884,"Chapter 9","When flying over or even landing at a foreign state, whose air law do you abide by?","You must obey the law of the country over which you are flying... unless your own country's... is more limiting."
885,"Chapter 9","Whose ultimate responsibility is it to avoid any type of collision?","It is the duty of the commander of an aircraft..."
886,"Chapter 9","What does a constant relative bearing of another aircraft at the same altitude mean?","This means that a collision risk exists."
887,"Chapter 9","With two aircraft converging in the air, which one must give way, and how?","The aircraft that has the other on its right must give way by turning right and passing behind."
888,"Chapter 9","What actions should be taken if you are approaching head on with another aircraft at the same altitude?","Both aircraft must turn right to avoid collision."
889,"Chapter 9","How would you overtake (in the air) another aircraft at the same altitude and direction of flight?","Must turn right and keep right..."
890,"Chapter 9","Who has the right of way during an airborne overtaking maneuver?","The aircraft being overtaken in the air has the right of way."
891,"Chapter 9","Who has the right of way on the ground?","...Aircraft on the ground must give way to those taking off or landing... Overtaking aircraft must keep out of the way."
892,"Chapter 9","What is the order of priority for all vehicles on an aerodrome?","1. Aircraft landing 2. Aircraft taking off 3. Vehicles towing aircraft 4. Aircraft taxiing 5. Other vehicles."
893,"Chapter 9","Who has the right of way between a landing aircraft and an aircraft on the ground?","An aircraft landing or on final approach... has the right of way."
894,"Chapter 9","Describe the aircraft's navigation and anticollision lights.","1. Green (starboard) 2. Red (port) 3. White (tail) 4. Flashing red anticollision 5. White strobe."
895,"Chapter 9","When should the anticollision and navigation lights be switched on?","Anticollision: whenever an engine is running. Strobe: whenever airborne. Navigation: during flight at night."
